样本id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,收率
1818,300,,405.0,700,14.0,29.0,,,16.0,102,17.0,103,0.2,18.0,104.0,19.0,105.0,0.2,200,1.0,50.0,9.0,5.0,20.0,80.0,21.0,73,1.0,320.0,3.5,3.5,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,0.15,420,0.983
457,300,,405.0,700,18.0,35.0,,,19.0,100,20.0,102,0.2,21.0,104.0,22.0,105.0,0.2,200,0.5,50.0,9.0,5.0,23.5,70.0,0.0,78,0.5,290.0,3.5,3.5,1.0,5.0,65,8.0,45.0,1.5,1.5,,800.0,0.15,400,0.902
69,300,,405.0,700,2.0,18.0,,,3.0,100,4.0,103,0.2,5.0,105.0,6.0,105.0,0.2,300,0.5,50.0,9.0,5.0,7.333333333333333,70.0,7.833333333333333,74,1.1666666666666667,350.0,3.5,3.5,1.0,10.0,70,11.5,45.0,1.5,1.5,,800.0,0.15,400,0.902
997,300,,405.0,700,12.0,21.0,,,13.5,100,14.5,101,0.2,15.5,103.0,16.5,105.0,0.2,200,0.5,50.0,9.0,5.0,18.0,70.0,18.5,78,1.0,290.0,3.5,3.5,1.0,3.0,63,4.0,50.0,1.5,1.5,,800.0,0.15,400,0.902
1004,300,,405.0,700,7.0,20.0,,,8.5,100,9.5,102,0.2,10.5,103.0,11.5,105.0,0.2,200,0.5,50.0,9.0,5.0,13.0,70.0,13.5,78,1.0,290.0,3.5,3.5,1.0,19.0,60,21.0,40.0,1.5,1.5,,800.0,0.15,400,0.902
232,300,,405.0,700,14.0,29.0,,,16.0,101,17.0,103,0.2,18.0,104.0,19.0,105.0,0.2,200,1.0,50.0,9.0,5.0,20.0,80.0,21.0,72,1.0,320.0,3.5,3.5,1.0,23.0,79,0.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.9129999999999999
1851,300,,405.0,700,6.0,29.0,,,8.0,102,9.0,103,0.2,10.0,105.0,11.0,107.0,0.2,200,1.0,50.0,9.0,5.0,12.0,78.0,13.0,72,1.0,320.0,3.5,3.5,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.925
1167,300,,405.0,700,22.0,20.0,,,0.0,101,1.0,103,0.2,2.0,105.0,3.0,104.0,0.2,200,1.0,50.0,9.0,5.0,4.0,79.0,4.5,75,1.0,320.0,3.5,3.5,1.0,6.5,65,8.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.8909999999999999
433,300,,405.0,700,17.0,21.0,,,19.0,100,20.0,102,0.2,21.0,104.0,22.0,106.0,0.2,100,1.5,50.0,9.0,5.0,23.0,80.0,23.5,78,1.0,280.0,3.5,3.5,1.5,2.5,65,4.5,45.0,1.5,1.5,,800.0,0.15,400,0.8909999999999999
1612,300,,405.0,700,0.0,21.0,,,1.5,100,2.5,102,0.2,3.5,104.0,4.5,105.0,0.2,300,0.5,50.0,9.0,5.0,6.0,70.0,6.5,78,1.0,370.0,3.5,3.5,1.0,17.0,65,19.0,45.0,1.5,1.5,,800.0,0.15,400,0.902
673,300,,405.0,700,22.0,29.0,,,0.0,101,1.0,103,0.2,2.0,104.0,3.0,105.0,0.2,200,1.0,50.0,9.0,5.0,4.0,80.0,5.0,73,1.0,320.0,3.5,3.5,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,0.15,420,0.983
1958,300,,405.0,700,6.0,29.0,,,8.0,102,9.0,103,0.2,10.0,104.0,11.0,105.0,0.2,200,1.0,50.0,9.0,5.0,12.0,80.0,13.0,73,1.0,320.0,3.5,3.5,1.0,15.0,80,17.0,45.0,4.0,,,1200.0,0.15,440,0.93
1046,250,,340.0,590,10.0,22.0,,,11.5,100,12.5,101,0.2,13.5,103.0,14.5,105.0,0.2,300,0.5,90.0,9.0,5.0,16.5,70.0,17.0,78,,220.0,3.5,3.5,2.0,0.0,65,5.0,50.0,2.0,,,400.0,0.15,340,0.92
732,300,,405.0,700,6.0,28.0,,,8.0,102,9.0,104,0.2,10.0,105.0,11.0,105.0,0.2,200,1.0,50.0,9.0,5.0,12.0,80.0,13.0,73,1.0,320.0,3.5,3.5,1.0,15.0,80,17.0,45.0,4.0,,,1200.0,0.15,440,0.93
355,300,,405.0,700,7.0,38.0,7.166666666666667,80.0,8.5,100,9.5,103,0.2,10.5,103.0,11.5,104.0,0.2,300,0.5,50.0,9.0,5.0,16.5,70.0,17.0,75,0.5,370.0,3.5,3.5,2.0,3.0,65,8.0,45.0,1.5,1.5,,800.0,0.15,400,0.9470000000000001
568,300,,405.0,700,8.0,29.0,,,10.0,102,11.0,103,0.2,12.0,104.0,13.0,105.0,0.2,200,1.0,50.0,9.0,5.0,14.0,78.0,15.0,73,1.0,320.0,3.5,3.5,1.0,17.0,80,19.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.902
1531,300,,405.0,700,16.666666666666668,41.0,,,17.833333333333332,100,18.833333333333332,102,0.2,19.833333333333332,102.0,20.833333333333332,103.0,0.2,300,0.5,50.0,9.0,5.0,0.5,70.0,1.0,75,0.5,360.0,3.5,3.5,2.0,13.5,65,15.5,45.0,1.5,1.5,,800.0,0.15,400,0.8909999999999999
949,300,,405.0,700,10.0,23.0,,,11.0,100,12.0,104,0.2,13.0,106.0,14.0,107.0,0.2,300,0.5,50.0,9.0,5.0,15.0,70.0,15.5,76,1.0,320.0,3.5,3.5,1.0,18.0,66,20.0,45.0,1.1666666666666667,1.1666666666666667,,800.0,0.15,400,0.9129999999999999
1856,300,,405.0,700,22.0,29.0,,,0.0,102,1.0,103,0.2,2.0,104.0,3.0,105.0,0.2,200,1.0,50.0,9.0,5.0,4.0,78.0,5.0,73,1.0,320.0,3.5,3.5,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.902
907,300,,405.0,700,6.5,39.0,6.666666666666667,80.0,8.25,100,9.25,102,0.2,10.25,104.0,11.25,102.0,0.2,300,0.5,50.0,9.0,5.0,14.5,70.0,15.0,75,0.5,370.0,3.5,3.5,2.0,3.0,65,8.0,39.0,1.5,1.5,,800.0,0.15,400,0.879
225,300,,405.0,700,6.0,29.0,,,8.0,102,9.0,103,0.2,10.0,105.0,11.0,107.0,0.2,200,1.0,50.0,9.0,5.0,12.0,79.0,13.0,72,1.0,320.0,3.5,3.5,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.9129999999999999
1175,300,,405.0,700,22.0,29.0,,,0.0,101,1.0,103,0.2,2.0,104.0,3.0,105.0,0.2,200,1.0,50.0,9.0,5.0,4.0,80.0,5.0,73,1.0,320.0,3.5,3.5,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,0.15,420,0.983
219,300,,405.0,700,14.0,30.0,,,16.0,100,17.0,104,0.2,18.0,106.0,19.0,107.0,0.2,200,1.0,50.0,9.0,5.0,20.0,80.0,21.0,73,1.0,320.0,3.5,3.5,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,0.15,420,0.971
17,300,,405.0,700,19.0,23.0,,,20.5,100,21.5,102,0.2,22.5,102.0,23.5,103.0,0.2,300,0.5,50.0,9.0,5.0,1.5,70.0,2.0,77,1.0,300.0,3.5,3.5,1.0,12.0,60,16.0,40.0,1.5,1.5,,800.0,0.15,400,0.879
1752,300,,405.0,700,6.0,29.0,,,8.0,102,9.0,103,0.2,10.0,104.0,11.0,105.0,0.2,200,1.0,50.0,9.0,5.0,12.0,78.0,13.0,73,1.0,320.0,3.5,3.5,1.0,15.0,79,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.925
368,300,,405.0,700,1.0,38.0,1.1666666666666667,80.0,2.5,100,3.5,103,0.2,4.5,104.0,5.5,102.0,0.2,300,0.5,50.0,10.0,5.0,11.5,70.0,12.0,75,0.5,370.0,3.5,3.5,2.5,23.0,55,4.0,45.0,1.5,1.5,,800.0,0.15,420,0.935
1097,300,,405.0,700,8.0,21.0,,,9.5,100,10.5,101,0.2,11.5,103.0,12.5,105.0,0.2,300,0.5,50.0,9.0,5.0,14.5,70.0,15.0,78,1.0,340.0,3.5,3.5,1.5,0.0,65,5.0,45.0,1.5,1.5,,800.0,0.15,440,0.9670000000000001
1388,300,,405.0,700,21.0,29.0,,,23.0,102,0.0,103,0.2,1.0,104.0,2.0,105.0,0.2,200,1.0,50.0,9.0,5.0,3.0,80.0,4.0,73,1.0,320.0,3.5,3.5,1.0,6.0,80,8.0,45.0,4.0,,,1200.0,0.15,420,0.888
296,300,125.0,,980,17.5,24.0,,,19.0,100,20.0,102,0.2,21.0,104.0,22.0,105.0,0.2,300,0.5,35.0,9.0,5.0,1.0,70.0,1.5,78,1.0,300.0,3.5,3.5,1.0,12.5,60,14.5,40.0,1.0,1.5,,800.0,0.15,400,0.902
365,300,,405.0,700,21.0,41.0,21.333333333333332,80.0,22.75,100,23.75,102,0.2,0.75,102.0,1.75,104.0,0.2,300,0.5,50.0,9.0,5.0,5.0,70.0,5.5,75,0.5,370.0,3.5,3.5,2.0,15.5,60,19.0,45.0,1.5,1.5,,800.0,0.15,420,0.9470000000000001
1753,300,,405.0,700,14.0,30.0,,,16.0,100,17.0,102,0.2,18.0,104.0,19.0,106.0,0.2,200,1.0,50.0,9.0,5.0,20.0,80.0,21.0,73,1.0,320.0,3.5,3.5,1.0,7.0,78,9.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.9470000000000001
1747,300,,405.0,700,22.0,29.0,,,0.0,101,1.0,103,0.2,2.0,104.0,3.0,105.0,0.2,200,1.0,50.0,9.0,5.0,4.0,80.0,5.0,73,1.0,320.0,3.5,3.5,1.0,7.0,80,9.0,45.0,1.5,1.5,1.5,1200.0,0.15,400,0.9359999999999999
1289,300,,405.0,700,14.0,27.0,,,16.0,102,17.0,104,0.2,18.0,105.0,19.0,106.0,0.2,200,1.0,50.0,9.0,5.0,20.0,80.0,21.0,73,1.0,320.0,3.5,3.5,1.0,23.0,80,0.0,45.0,4.0,,,1200.0,0.15,460,0.998
1552,300,,405.0,700,5.0,32.0,5.5,80.0,7.0,100,8.0,103,0.2,9.0,103.0,10.0,104.0,0.2,300,0.5,50.0,9.0,5.0,11.166666666666666,70.0,11.666666666666666,75,0.5,350.0,3.5,3.5,2.0,18.5,65,1.0,35.0,1.0,1.5,,800.0,0.15,400,0.902
717,300,,405.0,700,6.0,30.0,,,8.0,102,9.0,103,0.2,10.0,104.0,11.0,104.0,0.2,200,1.0,50.0,9.0,5.0,12.0,78.0,13.0,76,1.0,320.0,3.5,3.5,1.0,15.0,79,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.9359999999999999
1950,300,,405.0,700,14.0,30.0,,,16.0,102,17.0,103,0.2,18.0,104.0,19.0,105.0,0.2,200,1.0,50.0,9.0,5.0,20.0,80.0,21.0,73,1.0,320.0,3.5,3.5,1.0,23.0,80,1.0,45.0,4.0,,,1200.0,0.15,440,0.93
1786,300,,405.0,700,22.0,29.0,,,0.0,102,1.0,103,0.2,2.0,104.0,3.0,105.0,0.2,200,1.0,50.0,9.0,5.0,4.0,80.0,5.0,73,1.0,320.0,3.5,3.5,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.925
1979,300,,405.0,700,6.0,29.0,,,8.0,102,9.0,103,0.2,10.0,104.0,11.0,105.0,0.2,200,1.0,50.0,9.0,5.0,12.0,80.0,13.0,73,1.0,320.0,3.5,3.5,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,440,0.93
543,300,,405.0,700,4.0,26.0,,,5.5,100,6.5,102,0.2,7.5,102.0,8.5,102.0,0.2,300,0.5,50.0,9.0,5.0,9.5,70.0,10.0,78,1.0,340.0,3.5,3.5,1.5,19.0,65,21.0,45.0,1.5,1.5,,800.0,0.15,420,0.9470000000000001
995,300,,405.0,700,19.0,26.0,,,20.0,100,21.0,101,0.2,22.0,102.0,23.0,103.0,0.2,200,0.5,50.0,10.0,5.0,23.5,70.0,0.0,77,1.0,300.0,3.5,3.5,1.5,2.5,58,4.0,40.0,1.5,1.5,,800.0,0.15,390,0.89
1849,300,,405.0,700,6.0,29.0,,,8.0,101,9.0,103,0.2,10.0,105.0,11.0,107.0,0.2,200,1.0,50.0,9.0,5.0,12.0,80.0,13.0,72,1.0,320.0,3.5,3.5,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.9129999999999999
814,300,,405.0,700,21.0,29.0,,,23.0,102,0.0,103,0.2,1.0,104.0,2.0,105.0,0.2,200,1.0,50.0,9.0,5.0,3.0,80.0,4.0,73,1.0,320.0,3.5,3.5,1.0,6.0,80,8.0,45.0,3.0,,,1200.0,0.15,440,0.93
553,300,,405.0,700,2.0,27.0,,,3.5,100,4.5,101,0.2,5.5,103.0,6.5,102.0,0.2,300,0.5,50.0,10.0,5.0,8.0,70.0,8.5,78,1.0,340.0,3.5,3.5,1.5,19.0,65,21.0,50.0,1.5,1.5,,800.0,0.15,440,0.9670000000000001
363,300,,405.0,700,8.75,38.0,9.0,80.0,10.5,100,11.5,103,0.2,12.5,104.0,13.5,102.0,0.2,300,0.5,50.0,10.0,5.0,14.5,70.0,15.0,75,0.5,370.0,3.5,3.5,2.0,22.0,50,23.0,39.0,1.5,1.5,,800.0,0.15,420,0.9470000000000001
550,300,,405.0,700,21.5,21.0,,,23.0,100,0.0,102,0.2,1.0,102.0,2.0,102.0,0.2,300,0.5,50.0,10.0,5.0,5.0,70.0,5.5,78,1.0,350.0,3.5,3.5,1.5,15.5,65,19.0,45.0,1.5,1.5,,800.0,0.15,420,0.9470000000000001
43,300,,405.0,700,3.5,21.0,,,4.5,100,5.5,102,0.2,6.5,103.0,7.5,104.0,0.2,300,0.5,40.0,9.0,5.0,11.5,70.0,12.0,78,1.0,300.0,3.5,3.5,1.5,21.5,60,2.0,40.0,1.5,1.5,,800.0,0.15,400,0.902
1065,300,,405.0,700,22.5,21.0,,,0.0,100,1.0,101,0.2,2.0,102.0,3.0,102.0,0.2,300,0.5,50.0,10.0,5.0,6.5,70.0,7.0,78,1.0,340.0,3.5,3.5,1.0,16.5,65,19.0,45.0,1.5,1.5,,800.0,0.15,420,0.935
1151,300,,405.0,700,8.0,29.0,,,10.0,101,11.0,103,0.2,12.0,104.0,13.0,105.0,0.2,200,1.0,50.0,9.0,5.0,14.0,80.0,15.0,73,1.0,320.0,3.5,3.5,1.0,17.0,80,19.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.902
763,300,,405.0,700,6.0,30.0,,,8.0,103,9.0,104,0.2,10.0,105.0,11.0,106.0,0.2,200,1.0,50.0,9.0,5.0,12.0,80.0,13.0,73,1.0,310.0,3.5,3.5,1.0,15.0,80,17.0,45.0,3.5,,,1200.0,0.15,440,0.93
1468,300,,405.0,700,2.0,80.0,,,4.0,100,5.0,102,0.2,6.0,103.0,7.0,103.0,0.2,300,0.5,50.0,9.0,5.0,8.0,70.0,8.5,75,0.5,350.0,3.5,3.5,2.0,16.5,60,20.0,45.0,1.5,1.5,,800.0,0.15,400,0.879
653,300,,405.0,700,6.0,29.0,,,8.0,102,9.0,103,0.2,10.0,105.0,11.0,104.0,0.2,200,1.0,50.0,9.0,5.0,12.0,79.0,13.0,76,1.0,320.0,3.5,3.5,1.0,15.0,75,17.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.9359999999999999
536,300,,405.0,700,6.0,24.0,,,7.5,100,8.5,102,0.2,9.5,104.0,10.5,105.0,0.2,300,0.5,50.0,9.0,5.0,14.0,70.0,14.5,78,1.0,340.0,3.5,3.5,1.5,1.0,65,5.0,45.0,1.5,1.5,,800.0,0.15,400,0.879
1822,300,,405.0,700,22.0,29.0,,,0.0,102,1.0,103,0.2,2.0,104.0,3.0,105.0,0.2,200,1.0,50.0,9.0,5.0,4.0,78.0,5.0,73,1.0,320.0,3.5,3.5,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,0.15,400,0.925
1567,300,,405.0,700,4.0,37.0,4.5,80.0,6.0,100,7.0,102,0.2,8.0,103.0,9.0,102.0,0.2,300,0.5,50.0,10.0,5.0,11.5,70.0,12.0,75,0.5,330.0,3.5,3.5,2.0,22.0,65,1.0,45.0,1.5,1.5,,800.0,0.15,390,0.89
1947,300,,405.0,700,14.0,30.0,,,16.0,102,17.0,104,0.2,18.0,105.0,19.0,106.0,0.2,200,1.0,50.0,9.0,5.0,20.0,80.0,21.0,73,1.0,320.0,3.5,3.5,1.0,23.0,80,1.0,45.0,4.0,,,1200.0,0.15,440,0.93
643,300,,405.0,700,22.0,29.0,,,0.0,102,1.0,103,0.2,2.0,104.0,3.0,105.0,0.2,200,1.0,50.0,9.0,5.0,4.0,78.0,5.0,73,1.0,320.0,3.5,3.5,1.0,7.0,80,9.0,45.0,1.5,1.5,14.0,1200.0,0.15,420,0.983
765,300,,405.0,700,22.0,29.0,,,0.0,100,1.0,101,0.2,2.0,103.0,3.0,105.0,0.2,200,1.0,50.0,9.0,5.0,4.0,80.0,5.0,73,1.0,320.0,3.5,3.5,1.0,7.0,80,9.0,45.0,2.0,,,1200.0,0.15,440,0.955
555,300,,405.0,700,1.0,29.0,,,3.0,101,4.0,103,0.2,5.0,104.0,6.0,105.0,0.2,200,1.0,50.0,9.0,5.0,7.0,80.0,8.0,73,1.0,320.0,3.5,3.5,1.0,10.0,80,12.0,45.0,1.5,1.5,1.0,1200.0,0.15,420,0.9470000000000001
158,300,,405.0,700,22.0,26.0,,,0.0,102,1.0,103,0.2,2.0,104.0,3.0,105.0,0.2,200,1.0,50.0,9.0,5.0,4.0,79.0,5.0,76,1.0,320.0,3.5,3.5,1.0,7.0,75,9.0,45.0,1.5,1.5,1.0,1200.0,0.15,420,0.971
